Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Branch,Space Flight (hr),Space Walks (hr),Missions,Death Date,Death Mission
Barbara R. Morgan,1998.0,17.0,Retired,11/28/1951,"Fresno, CA",Female,Stanford University,Human Biology,,,305,0,STS-118 (Endeavor),,
Lee M. Morin,1996.0,16.0,Management,9/9/1952,"Manchester, NH",Male,University of New Hampshire; University of Alabama-Birmingham; New York University,Mathematical & Electrical Science,Public Health; Biochemistry; Medicine; Microbiology,US Navy,259,14,STS-110 (Atlantis),,
Richard M. Mullane,1978.0,8.0,Retired,9/10/1945,"Wichita Falls, TX",Male,US Military Academy; US Air Force Institute of Technology,Military Engineering,Aeronautical Engineering,US Air Force,356,0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",,
Story Musgrave,1967.0,6.0,Retired,8/19/1935,"Boston, MA",Male,Syracuse University; Marietta College; University of California-Los Angeles; University of Kentucky; University of Houston; Columbia University,Mathematics & Statistics; Chemistry,Business Administration; Physiology; Literature; Medicine,,1281,26,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)",,
Steven R. Nagel,1978.0,8.0,Retired,10/27/1946,"Canton, IL",Male,University of Illinois; California State University-Fresno,Aerospace Engineering,Mechanical  Engineering,US Air Force,721,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,
George D. Nelson,1978.0,8.0,Retired,7/13/1950,"Charles City, IA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,,411,10,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)",,
James H. Newman,1990.0,13.0,Retired,10/16/1956,"San Diego, CA",Male,Dartmouth College; Rice University,Physics,Physics,,1042,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",,
Carlos I. Noriega,1995.0,15.0,Retired,10/8/1959,"Lima, Peru",Male,University of Southern California; US Naval Postgraduate School,Computer Science,Computer Science; Space Systems Operations,US Marine Corps,481,19,"STS-84 (Atlantis), STS-97 (Endeavor)",,
Lisa M. Nowak,1996.0,16.0,Retired,5/10/1963,"Washington, DC",Female,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,US Navy,306,0,STS-121 (Discovery),,
Karen L. Nyberg,2000.0,18.0,Active,10/7/1969,"Parkerâ€™s Prairie, MN",Female,University of North Dakota; University of Texas,Mechanical Engineering,Mechanical Engineering,,4320,0,"STS-124 (Discovery), ISS-36/37 (Soyuz)",,
Bryan D. O'Connor,1980.0,9.0,Retired,9/6/1946,"Orange, CA",Male,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,US Marine Corps,383,0,"STS 61-B (Atlantis), STS-40 (Columbia)",,
Brian T. O'Leary,1967.0,6.0,Deceased,1/27/1940,"Boston, MA",Male,Williams College; Georgetown University; University of California-Berkeley,Physics,Astronomy,,0,0,,7/28/2011,
Ellen Ochoa,1990.0,13.0,Management,5/10/1958,"Los Angeles, CA",Female,San Diego State University; Stanford University,Physics,Electrical Engineering,,979,0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",,
William A. Oefelein,1998.0,17.0,Retired,3/29/1965,"Ft. Belvoir, VA",Male,Oregon State University; University of Tennessee,Electrical Engineering,Aviation Systems,US Navy,308,0,STS-116 (Discovery),,
John D. Olivas,1998.0,17.0,Retired,5/25/1966,"North Hollywood, CA",Male,University of Texas-El Paso; University of Houston; Rice University,Mechanical Engineering,Mechanical  Engineering; Mechanical  Engineering & Materials Science,,665,34,"STS-117 (Atlantis), STS-128 (Discovery)",,
Ellison S. Onizuka,1978.0,8.0,Deceased,6/24/1946,"Kealakekua, HI",Male,University of Colorado,Aerospace Engineering,Aerospace Engineering,US Air Force,73,0,"STS 51-C (Discovery), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
Stephen S. Oswald,1985.0,11.0,Retired,6/30/1951,"Seattle, WA",Male,US Naval Academy,Aerospace Engineering,,,814,0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)",,
Robert F. Overmyer,1969.0,7.0,Deceased,7/14/1936,"Lorain, OH",Male,Baldwin Wallace College; US Naval Postgraduate School,Physics,Aeronautics,US Marine Corps,290,0,"STS-5 (Columbia), STS 51-B (Challenger)",3/22/1996,
Scott E. Parazynski,1992.0,14.0,Retired,7/28/1961,"Little Rock, AR",Male,Stanford University,Biology,Medicine,,1404,47,"STS-66 (Atlantis), STS-86 (Atlantis), STS-95 (Discovery), STS-100 (Endeavor), STS-120 (Discovery)",,
Robert A. Parker,1967.0,6.0,Retired,12/14/1936,"New York, NY",Male,Amherst College; California Institute of Technology,Physics & Astronomy,Astronomy,,462,0,"STS-9 (Columbia), STS-35 (Columbia)",,
Niclolas J. M. Patrick,1998.0,17.0,Retired,3/22/1964,"North Yorkshire, England",Male,University of Cambridge; MIT,Engineering,Engineering; Mechanical Engineering,,638,18,"STS-116 (Discovery), STS-130 (Endeavor)",,
Donald H. Peterson,1969.0,7.0,Retired,10/22/1933,"Winona, MS",Male,US Military Academy; US Air Force Institute of Technology,,Nuclear Engineering,US Air Force,120,4,STS-6 (Challenger),,
Donald R. Pettit,1996.0,16.0,Active,4/20/1955,"Silverton, OR",Male,Oregon State University; University of Arizona,Chemical Engineering,Chemical Engineering,,8872,13,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)",,
John L. Phillips,1996.0,16.0,Retired,4/15/1951,"Ft. Belvoir, VA",Male,US Naval Academy; University of West Florida; University of California-Los Angeles,Mathematics; Russian,Aeronautical Systems; Geophysics & Space Physics,US Navy,4880,5,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (Discovery)",,
William R. Pogue,1966.0,5.0,Retired,1/23/1930,"Okemah, OK",Male,Oklahoma Baptist University; Oklahoma State University,Education,Mathematics,US Air Force,2017,13,Skylab 4,,
Alan G. Poindexter,1998.0,17.0,Deceased,11/5/1961,"Pasadena, CA",Male,Georgia Institute of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,US Navy,669,0,"STS-122 (Atlantis), STS-131 (Discovery)",7/1/2012,
Mark L. Polansky,1996.0,16.0,Retired,6/2/1956,"Paterson, NJ",Male,Purdue University,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,,995,0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",,
Charles J. Precourt,1990.0,13.0,Retired,6/29/1955,"Waltham, MA",Male,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,US Air Force,950,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
William F. Readdy,1987.0,12.0,Retired,1/24/1952,"Quonset Point, RI",Male,US Naval Academy,Aerospace Engineering,,US Navy,672,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)",,
Kenneth S. Reightler Jr. ,1987.0,12.0,Retired,3/24/1951,"Patuxent River, MD",Male,US Naval Academy; US Naval Postgraduate School; University of Southern California,Aerospace Engineering,Aeronautical Engineering; Systems Management,US Navy,327,0,"STS-48 (Discovery), STS-60 (Discovery)",,
James F. Reilly II ,1995.0,15.0,Retired,3/18/1954,"Mountain Home Air Force Base, ID",Male,University of Texas-Dallas,Geosciences,Geosciences,,854,31,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117 (Atlantis)",,
Garrett E. Reisman,1998.0,17.0,Retired,2/10/1968,"Morristown, NJ",Male,University of Pennsylvania; California Institute of Technology,Economics,Mechanical  Engineering,,2571,21,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)",,
Judith A. Resnik,1978.0,8.0,Deceased,4/5/1949,"Akron, OH",Female,Carnegie-Mellon University; University of Maryland,Electrical Engineering,Electrical Engineering,,144,0,"STS 41-D (Discovery), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
Paul W. Richards,1996.0,16.0,Management,5/20/1964,"Scranton, PA",Male,Drexel University; University of Maryland,Mechanical Engineering,Mechanical Engineering,,307,6,STS-102 (Discovery),,
Richard N. Richards,1980.0,9.0,Retired,8/24/1946,"Key West, FL",Male,University of Missouri; University of West Florida,Chemical Engineering,Aeronautical Systems,US Navy,813,0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)",,
Sally K. Ride,1978.0,8.0,Deceased,5/26/1951,"Los Angeles, CA",Female,Stanford University,Physics; English,Physics,,343,0,"STS-7 (Challenger), STS 41-G (Challenger)",7/23/2012,
Patricia Hilliard Robertson,1998.0,17.0,Deceased,3/12/1963,"Indiana, PA",Female,Indiana University of Pennsylvania; Medical College of Pennsylvania,Biology,Medicine,,0,0,,5/24/2001,
Stephen K. Robinson,1995.0,15.0,Retired,10/26/1955,"Sacramento, CA",Male,University of California-Davis; Stanford University,Mechanical & Aeronautical Engineering,Mechanical  Engineering,,1162,20,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",,
Kent V. Rominger,1992.0,14.0,Retired,8/7/1956,"Del Norte, CO",Male,Colorado State University; US Naval Postgraduate School,Civil Engineering,Aeronautical Engineering,US Navy,1611,0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",,
Stuart A. Roosa,1966.0,5.0,Deceased,8/16/1933,"Durango, CO",Male,University of Colorado,Aeronautical Engineering,,US Air Force,216,0,Apollo 14,12/12/1994,
Jerry L. Ross,1980.0,9.0,Retired,1/20/1948,"Crown Point, IN",Male,Purdue University,Mechanical Engineering,Mechanical Engineering,US Air Force,1393,58,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",,
Kathleen Rubins,2009.0,20.0,Active,10/14/1978,"Farmington, CT",Female,University of California-San Diego; Stanford University,Molecular Biology,Cancer Biology,,2762,13,ISS-48/49 (Soyuz),,
Robert L. Satcher Jr. ,2004.0,19.0,Retired,9/22/1965,"Hampton, VA",Male,MIT; Harvard University,Chemical Engineering,Chemical Engineering; Medicine,,259,12,STS-129 (Atlantis),,
Walter M. Schirra Jr. ,1959.0,1.0,Deceased,3/12/1923,"Hackensack, NJ",Male,US Naval Academy,Naval Sciences,,US Navy,295,0,"Mercury 8, Gemini 6, Apollo 7",5/2/2007,
Harrison H. Schmitt,1965.0,4.0,Retired,7/3/1935,"Santa Rita, NM",Male,California Institute of Technology; Harvard University,Geology,Geology,,301,22,Apollo 17,,
Russell L. Schweickart,1963.0,3.0,Retired,10/25/1935,"Neptune, NJ",Male,MIT,Aeronautics & Astronautics,Aeronautics & Astronautics,,241,1,Apollo 9,,
Francis R. Scobee,1978.0,8.0,Deceased,5/19/1939,"Cle Elum, WA",Male,University of Arizona,Aerospace Engineering,,US Air Force,167,0,"STS 41-C (Challenger), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
David R. Scott,1963.0,3.0,Retired,6/6/1932,"San Antonio, TX",Male,US Military Academy; MIT,,Aeronautics & Astronautics,US Air Force,546,19,"Gemini 8, Apollo 9, Apollo 15",,
Winston E. Scott,1992.0,14.0,Retired,8/6/1950,"Miami, FL",Male,Florida State University; US Naval Postgraduate School,Music,Aeronautical Engineering,US Navy,590,19,"STS-72 (Endeavor), STS-87 (Columbia)",,
Richard A. Searfoss,1990.0,13.0,Retired,6/5/1956,"Mount Clemens, MI",Male,US Air Force Academy; California Institute of Technology,Aeronautical Engineering,Aeronautics,US Air Force,939,0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",,
Margaret Rhea Seddon,1978.0,8.0,Retired,11/8/1947,"Murfreesboro, TN",Female,University of California-Berkeley; University of Tennessee,Physiology,Medicine,,722,0,"STS 51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)",,
Elliot M. See Jr. ,1962.0,2.0,Deceased,7/23/1927,"Dallas, TX",Male,US Merchant Marine Academy; University of California-Los Angeles,,Engineering,,0,0,,2/28/1966,
Ronald M. Sega,1990.0,13.0,Retired,12/4/1952,"Cleveland, OH",Male,US Air Force Academy; Ohio State University; University of Colorado,Physics & Mathematics,Physics; Electrical Engineering,US Air Force,420,0,"STS-60 (Discovery), STS-76 (Atlantis)",,
Piers J. Sellers,1996.0,16.0,Management,4/11/1955,"Crowborough, England",Male,University of Edinburgh; Leeds University,Ecological Science,Biometeorology,,839,41,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",,
Brewster H. Shaw Jr. ,1978.0,8.0,Retired,5/16/1945,"Cass City, MI",Male,University of Wisconsin,Engineering Mechanics,Engineering Mechanics,US Air Force,533,0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)",,
Alan B. Shepard Jr. ,1959.0,1.0,Deceased,11/18/1923,"East Derry, NH",Male,US Naval Academy,Naval Sciences,,US Navy,216,9,"Mercury 3, Apollo 14",7/21/1998,
William M. Shepherd,1984.0,10.0,Retired,7/26/1949,"Oak Ridge, TN",Male,US Naval Academy; MIT,Aerospace Engineering,Mechanical  Engineering,US Navy,3823,0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)",,
Loren J. Shriver,1978.0,8.0,Retired,9/23/1944,"Jefferson, IA",Male,US Air Force Academy; Purdue University,Aeronautical Engineering,Astronautical Engineering,US Air Force,386,0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,
Donald K. Slayton,1959.0,1.0,Deceased,3/1/1924,"Sparta, WI",Male,University of Minnesota,Aeronautical Engineering,,US Air Force,217,0,Apollo-Soyuz Test Project,6/13/1993,
Michael J. Smith,1980.0,9.0,Deceased,4/30/1945,"Beaufort, NC",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Aeronautical Engineering,US Navy,0,0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger)
Steven L. Smith,1992.0,14.0,Management,12/30/1958,"Phoenix, AZ",Male,Stanford University,Electrical Engineering,Electrical Engineering,,960,49,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",,
Sherwood C. Spring,1980.0,9.0,Retired,9/23/1944,"Hartford, CT",Male,US Military Academy; University of Arizona,Engineering,Aerospace Engineering,US Army,165,12,STS 61-B (Atlantis),,
Robert C. Springer,1980.0,9.0,Retired,5/21/1942,"St. Louis, MO",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Operations Research,US Marine Corps,237,0,"STS-29 (Discovery), STS-38 (Atlantis)",,
Thomas P. Stafford,1962.0,2.0,Retired,9/17/1930,"Weatherford, OK",Male,US Naval Academy,,,US Air Force,507,0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",,
Heidemarie M. Stefanyshyn-Piper,1996.0,16.0,Retired,2/7/1963,"St. Paul, MN",Female,MIT,Mechanical Engineering,,US Navy,663,33,"STS-115 (Atlantis), STS-126 (Endeavor)",,
Robert L. Stewart,1978.0,8.0,Retired,8/13/1942,"Washington, DC",Male,University of Southern Mississippi; University of Texas-Arlington,Mathematics,Aerospace Engineering,US Army,289,12,"STS 41-B (Challenger), STS 51-J (Atlantis)",,
Nicole P. Stott,2000.0,18.0,Active,11/19/1962,"Albany, NY",Female,Embry-Riddle Aeronautical University; University of Central Florida,Aeronautical Engineering,Engineering Management,,2477,6,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)",,
Frederick W. Sturckow,1995.0,15.0,Retired,8/11/1961,"La Mesa, CA",Male,California Polytechnic State University,Mechanical Engineering,,US Marine Corps,1233,0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
Kathryn D. Sullivan,1978.0,8.0,Retired,10/3/1951,"Patterson, NJ",Female,University of California-Santa Cruz; Dalhousie University,Earth Sciences,Earth Sciences; Geology,,532,3,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)",,
Steven R. Swanson,1998.0,17.0,Active,12/3/1960,"Syracuse, NY",Male,University of Colorado; Florida Atlantic University; Texas A&M University,Engineering Physics,Computer Systems; Computer Science,,4700,28,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)",,
John L. Swigert Jr. ,1966.0,5.0,Deceased,8/30/1931,"Denver, CO",Male,University of Colorado; Rensselaer Polytechnic Institute; University of Hartford,Mechanical Engineering,Aerospace Science; Business Administration,,142,0,Apollo 13,12/27/1982,
Daniel M. Tani,1996.0,16.0,Retired,2/1/1961,"Ridley Park, PA",Male,MIT,Mechanical Engineering,Mechanical Engineering,,3162,39,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)",,
Joseph R. Tanner,1992.0,14.0,Retired,1/21/1950,"Danville, IL",Male,University of Illinois,Mechanical Engineering,,,1045,46,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",,
Norman E. Thagard,1978.0,8.0,Retired,7/3/1943,"Marianna, FL",Male,Florida State University; University of Texas,Engineering Science,Engineering Science; Medicine,,3373,0,"STS-7 (Challenger), STS 51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Soyuz/Atlantis)",,
Andrew S. W. Thomas,1992.0,14.0,Management,12/18/1951,"Adelaide, Australia",Male,University of Adelaide,Mechanical Engineering,Mechanical Engineering,,4257,6,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",,
Donald A. Thomas,1990.0,13.0,Retired,5/6/1955,"Cleveland, OH",Male,Case Western Reserve University; Cornell University,Physics,Materials Science,,1040,0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",,
Stephen D. Thorne,1985.0,11.0,Deceased,2/11/1953,"Frankfurt, West Germany",Male,US Naval Academy,Engineering,,US Navy,0,0,,5/24/1986,
Kathryn C. Thornton,1984.0,10.0,Retired,8/17/1952,"Montgomery, AL",Female,Auburn University; University of Virginia,Physics,Physics,,975,21,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",,
William E. Thornton,1967.0,6.0,Retired,4/14/1929,"Faison, NC",Male,University of North Carolina,Physics,Medicine,,315,0,"STS-8 (Challenger), STS 51-B (Challenger)",,
Pierre J. Thuot,1985.0,11.0,Retired,5/19/1955,"Groton, CT",Male,US Naval Academy; University of Southern California,Physics,Systems Management,US Navy,654,17,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",,
Scott D. Tingle,2009.0,20.0,Active,7/19/1965,"Attleboro, MA",Male,Southeastern Massachusetts University; Purdue University,Mechanical Engineering,Mechanical Engineering,US Navy,0,0,,,
Richard H. Truly,1969.0,7.0,Retired,11/12/1937,"Fayette, MS",Male,Georgia Institute of Technology,Aeronautical Engineering,,US Navy,199,0,"STS-2 (Columbia), STS-8 (Challenger)",,
James D. van Hoften,1978.0,8.0,Retired,6/11/1944,"Fresno, CA",Male,University of California-Berkeley; Colorado State University,Civil Engineering,Hydraulic Engineering; Fluid Mechanics,,338,22,"STS 41-C (Challenger), STS 51-I (Discovery)",,
Mark T. Vande Hei,2009.0,20.0,Active,11/10/1966,"Falls Church, VA",Male,Saint Johnâ€™s University; Stanford University,Physics,Applied Physics,US Army,0,0,,,
Charles Lacy Veach,1984.0,10.0,Deceased,9/18/1944,"Chicago, IL",Male,US Air Force Academy,Engineering Management,,,436,0,"STS-39 (Discovery), STS-52 (Columbia)",10/3/1995,
Terry W. Virts Jr. ,2000.0,18.0,Active,12/1/1967,"Baltimore, MD",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Mathematics,Aeronautics,US Air Force,5122,18,"STS-130 (Endeavor), ISS-42/43 (Soyuz)",,
James S. Voss,1987.0,12.0,Retired,3/3/1949,"Cordova, AL",Male,Auburn University; University of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,US Army,4853,22,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Janice E. Voss,1990.0,13.0,Deceased,10/8/1956,"South Bend, IN",Female,Purdue University; MIT,Engineering Science,Electrical Engineering; Aeronautics & Astronautics,,1179,0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)",2/6/2012,
Rex J. Walheim,1996.0,16.0,Active,10/10/1962,"Redwood, CA",Male,University of California-Berkeley; University of Houston,Mechanical Engineering,Industrial Engineering,US Air Force,872,36,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",,
David M. Walker,1978.0,8.0,Deceased,5/20/1944,"Columbus, GA",Male,US Naval Academy,Naval Sciences,,US Navy,724,0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",4/23/2001,
Shannon Walker,2004.0,19.0,Active,6/4/1965,"Houston, TX",Female,Rice University,Space Physics,Space Physics,,3919,0,ISS-24/25 (Soyuz),,
Carl E. Walz,1990.0,13.0,Retired,9/6/1955,"Cleveland, OH",Male,Kent State University; John Carroll University,Physics,Solid State Physics,US Air Force,5533,19,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",,
Mary E. Weber,1992.0,14.0,Retired,8/24/1962,"Cleveland, OH",Female,Purdue University; University of California-Berkeley,Chemical Engineering,Physical Chemistry,,450,0,"STS-70 (Discovery), STS-101 (Atlantis)",,
Paul J. Weitz,1966.0,5.0,Retired,6/25/1932,"Erie, PA",Male,Pennsylvania State University; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,US Navy,793,2,"Skylab 2, STS-6 (Challenger)",,
James D. Wetherbee,1984.0,10.0,Retired,11/27/1952,"Flushing, NY",Male,University of Notre Dame,Aerospace Engineering,,US Navy,1594,0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",,
Douglas H. Wheelock,1998.0,17.0,Active,5/5/1960,"Binghamton, NY",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,US Army,4281,43,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,
Edward H. White II ,1962.0,2.0,Deceased,11/14/1930,"San Antonio, TX",Male,US Military Academy; University of Michigan,,Aeronautical Engineering,US Air Force,97,0,"Gemini 4, Apollo 1",1/27/1967,Apollo 1
Peggy A. Whitson,1996.0,16.0,Active,2/9/1960,"Mt. Ayr, IA",Female,Iowa Wesleyan College; Rice University,Chemistry & Biology,Biochemistry,,11698,46,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)",,
Terrence W. Wilcutt,1990.0,13.0,Management,10/31/1949,"Russellville, KY",Male,Western Kentucky University,Mathematics,,,1008,0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,
Clifton C. Williams Jr. ,1963.0,3.0,Deceased,9/26/1932,"Mobile, AL",Male,Auburn University,Mechanical Engineering,,US Marine Corps,0,0,,10/5/1967,
Donald E. Williams,1978.0,8.0,Retired,2/13/1958,"Lafayette, IN",Male,Purdue University,Mechanical Engineering,,US Navy,287,0,"STS 51-D (Discovery), STS-34 (Atlantis)",,
Jeffrey N. Williams,1996.0,16.0,Active,1/18/1958,"Superior, WI",Male,US Military Academy; US Naval Postgraduate School; US Naval War College,Applied Science & Engineering,Aeronautical Engineering; National Security & Strategic Studies,US Army,12818,32,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 (Soyuz), ISS-47/48 (Soyuz)",,
Sunita L. Williams,1998.0,17.0,Active,9/19/1965,"Euclid, OH",Female,US Naval Academy; Florida Institute of Technology,Physical Science,Engineering Management,US Navy,7721,50,"STS-116/117 (Discovery/Atlantis), ISS-32/33 (Soyuz)",,
Barry E. Wilmore,2000.0,18.0,Active,12/29/1962,"Murfreesboro, TN",Male,Tennessee Technological University; University of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,US Navy,4272,25,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,
Stephanie D. Wilson,1996.0,16.0,Active,9/27/1966,"Boston, MA",Female,Harvard University; University of Texas,Engineering Science,Aerospace Engineering,,1031,0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",,
G. Reid Wiseman,2009.0,20.0,Active,11/11/1975,"Baltimore, MD",Male,Rensselaer Polytechnic Institute; Johns Hopkins University,Computer & Systems Engineering,Systems Engineering,US Navy,3968,13,ISS-40/41 (Soyuz),,
Peter J. K. Wisoff,1990.0,13.0,Retired,8/16/1958,"Norfolk, VA",Male,University of Virginia; Stanford University,Physics,Applied Physics,,1064,20,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,
David A. Wolf,1990.0,13.0,Retired,8/23/1956,"Indianapolis, IN",Male,Purdue University; Indiana University,Electrical Engineering,Medicine,,4044,41,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",,
Neil W. Woodward III ,1998.0,17.0,Retired,7/26/1962,"Chicago, IL",Male,MIT; University of Texas-Austin; George Washington University,Physics,Physics; Business Management,US Navy,0,0,,,
Alfred M. Worden,1966.0,5.0,Retired,2/7/1932,"Jackson, MI",Male,US Military Academy; University of Michigan,Military Science,Aeronautical & Astronautical Engineering,US Air Force,295,0,Apollo 15,,
John W. Young,1962.0,2.0,Retired,9/24/1930,"San Francisco, CA",Male,Georgia Institute of Technology,Aeronautical Engineering,,US Navy,835,20,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",,
George D. Zamka,1998.0,17.0,Retired,6/29/1962,"Jersey City, NJ",Male,US Naval Academy; Florida Institute of Technology,Mathematics,Engineering Management,US Marine Corps,692,0,"STS-120 (Discovery), STS-130 (Endeavor)",,
