Product Name	Collection	Brand	Price Index   ($1, $$2, $$$3)	Relative Popularity				
Edgar Allen Poe's Snotty Hankerchief	Accessories	Banana Republic	1	0.001				
Baby Shoes, Never Worn 	Accessories	Gap	1	0.01				
"Adam Levine" Choker	Accessories	Gap	1	0.001				
"My Wife" Borat Graphic Tee	Men's Tops	Gap	2	0.01				
Checkered Cloth Mask with Drinking Straw Hole	Accessories	Gap	1	0.1				
Acid-Washed Low-Rise Jeans with LSD-tab-sized pockets	Women's Bottoms	Banana Republic	3	0.1	Price Key			
White Camisole with Regina George Cutouts	Women's Tops	Banana Republic	2	0.01	target range	rng distribution		
Mullet-Cut Midi Fur Skirt	Women's Bottoms	Banana Republic	3	0.01	1 = $1-20	gaussian(10,3)		
Tan Slacks for Serious Press Conference	Men's Bottoms	Banana Republic	3	0.1	2 = $30-60	gaussian(45,5)		
Tan Suit Jacket for Casual Press Conference	Men's Tops	Banana Republic	3	0.1	3 = $90+	exponential(15)+75		
"I Stan Fast Fashion" Graphic Tee	Kids Tops	Gap Kids	1	0.1				
"Let's Reinforce Gender Stereotypes" Graphic Tee	Kids Tops	Gap Kids	1	0.1	Relative Popularity Key			
Mr. Peanut-Style Top Hat (#RIP)	Accessories	Banana Republic	1	0.001	how often you'd expect to see this item purchased, out of every 100 transactions (not exact probabilty - doesn't have to add up to 100%)			
Blue Light Blocker Monocle	Accessories	Gap	1	0.01	(not exact probabilty - doesn't have to add up to 100%)			
Let's-Wear-White-After-Labor-Day 3/4 Sleeve Blazer	Women's Tops	Banana Republic	3	0.01	i.e.	0.001	pretty rate	(super obscure items that should only show up once or twice in a dataset)
"I'm A Potato" Graphic Crop Tee	Women's Tops	Gap	1	0.01		0.01	a few ppl buy this	(most items should fall here)
Fourth of July Flag Tank, Pre-Mustard Stained	Men's Tops	Gap	1	0.01		0.1	literally everyone buys this	
"Pink Polo by Kanye" Plain Tee 	Men's Tops	Gap	2	0.001				(only one or two items should be here)
"Sunday Church on Zoom" Children's Khakis	Kids Tops	Gap	2	0.01				
Super Skinny Fit with GapFlex Max Jeans	Denim Shop	Gap	2	0.1				
"My roommate looked good in this" Denim Jacket	Denim Shop	Gap	2	0.1				
Bootleg Boot Cut 	Denim Shop	Gap	2	0.01				
"N-A-P" Logo Branded Sweater	Kids Tops	Gap	2	0.1				
"Iota Delta Kappa" Olive Chinos	Men's Bottoms	Banana Republic	2	0.01				
Scratchy Woolen Socks	Accessories	Banana Republic	1	0.001				
"Beautiful Mind" Tweed Jacket with Shoulder Pads	Men's Tops	Banana Republic	3	0.001				
Wireframe Glasses, Without plastic lenses	Accessories	Banana Republic	1	0.01				
"Sun.png" Summer Collection Sundress	Women's Tops	Banana Republic	2	0.01				
Wrinkled Gray Sweatpants for Work-From-Home	Men's Bottoms	Gap	1	0.1				
Lightly Used Boxer Briefs	Accessories	Gap	1	0.001				
Rainbow Collection Camouflage Camisole Top	Women's Tops	Gap	1	0.01				
"Hello, World!" JavaScript Graphic Tee	Kids Tops	Gap	1	0.01				
(Marginal) Utility Belt	Accessories	Banana Republic	1	0.001				
Comfortable Jeans, Exclusive to Size(s): XXXS	Denim Shop	Gap	2	0.001				
"Old inventory we couldn't sell" StretchFit Leggings	Women's Bottoms	Gap	2	0.01				
"The Conjuring" Graphic Tee Collection	Kids Tops	Gap	1	0.01				
That-Hoodie-You'll-Wear-to-Every-Class Sweater	Men's Tops	Gap	2	0.1				
"Beach Week" Linen Button Down, Off-White	Men's Tops	Banana Republic	2	0.01				
Vintage Surfboard Graphic Tee, Cotton	Men's Tops	Banana Republic	1	0.01				
SpaceX Branded Socks, by NASAâ„¢	Kids Tops	Gap	1	0.01				
"Father's Day" Dark Dress Socks	Accessories	Banana Republic	1	0.01				
"Plain White T's" Designer Graphic Tees	Women's Tops	Banana Republic	2	0.01				
Dishwasher-Safe Jean Shorts	Denim Shop	Gap	2	0.1				
Human Rights (except for the children who make our clothing) Graphic Tee	Kids Tops	Gap	1	0.1				
Yes-I-am-Experiencing-Menopause-Thank-You-for-Asking White Linen Chinos	Women's Bottoms	Banana Republic	2	0.01				
Mom-Bought-Me-These Brown Slacks	Kids Bottoms	Gap	1	0.1				
Tobey Maguire Spiderman Graphic Tee	Kids Tops	Gap	1	0.01				
Environmentally Unconcious Jean Shorts	Denim Shop	Gap	2	0.01				