Store|Lat|Lon|Address
Fashion Centre at Pentagon City|38.8633818|-77.06049673002386|Fashion Centre at Pentagon City, South Hayes Street, Pentagon City, Addison Heights, Arlington, Arlington County, Virginia, 22202, United States of America
Norfolk Premium Outlets|36.88180895|-76.20023071493475|1600, Camden Heights, Norfolk, Virginia, 23502, United States of America
Fair Oaks Mall|38.862903599999996|-77.35885332105319|Fair Oaks Mall, Fairfax Farms, Fair Oaks, Fairfax County, Virginia, 22035, United States of America
Williamsburg Premium Outlets|37.31988095|-76.7371883035241|5715, Ewell Hall, James City County, Virginia, 23188, United States of America
Dulles Town Center|39.0277449|-77.4199496|Dulles Town Center, Loudoun County, Virginia, United States of America
Tysons Corner Center|38.9169718|-77.22311806490137|Tysons Corner Center, Fletcher Street, Tysons Corner Center, Madrillon Farms, Tysons, Fairfax County, Virginia, 20007, United States of America
Short Pump Town Center|37.65613745|-77.61987601282283|11800, West Broad Street, Short Pump, Henrico County, Virginia, 23233, United States of America
Stony Point Fashion Park|37.5504943|-77.57197922126643|9200, Fernleigh, Richmond, Richmond City, Virginia, 23235, United States of America
Potomac Mills|38.6404181|-77.2994693|Potomac Mills, Prince William County, Virginia, 2192, United States of America
Leesburg Premium Outlets|39.10675845|-77.53931052235885|Leesburg Premium Outlets, Leesburg, Loudoun County, Virginia, United States of America
MacArthur Center|36.84925415|-76.28819450570447|Macarthur Center, Monticello Avenue, Huntersville, Berkley, Norfolk, Virginia, 23510, United States of America
Reston Town Center|38.958534650000004|-77.35823418355113|Reston Town Center, Sunset Hills, Reston, Fairfax County, Virginia, United States of America
Barracks Road Shopping Center|38.0540336|-78.49949245162634|Barracks Road Shopping Center, The Meadows, Charlottesville, Virginia, United States of America
Charlottesville Fashion Square|38.0770091|-78.4749951960077|Charlottesville Fashion Square, East Rio Road, Squire Hill, Hollymead, Albemarle County, Virginia, 22901, United States of America
Regency Square|37.670427|77.548658|Regency Square, 1420 N Parham Rd, Richmond, Virginia, 23229, United States of America